_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
6404ab5c5027fd0b051af091||39.12|83.95|39.12|51.8|68,0,0,0|quote|5638|0|0|20.86|0|0|false|false|english|none|normal|false|false|false||1678027612000
6404ab445027fd0b051aefd8||41.27|88.89|41.27|55.35|78,0,0,0|quote|5816|0|0|22.68|0|0|false|false|english|none|normal|false|false|false||1678027588000
6404ab265027fd0b051aeee4||37.8|84.62|37.8|51.82|63,0,0,0|quote|6302|0|0|20|1|0|false|false|english|none|normal|false|false|false||1678027558000
6404ab105027fd0b051aee2b||43.62|89.74|43.62|49.57|67,0,0,0|quote|6068|0|0|18.43|0|0|false|false|english|none|normal|false|false|false||1678027536000
6404aaf05027fd0b051aed3f||30.98|85.98|36.61|46.44|77,0,0,2|quote|62|0|0|29.83|0|0|false|false|english|none|normal|false|false|false||1678027504000
6404aac45027fd0b051538a5||43.93|92.59|43.93|57.57|98,0,0,0|quote|4721|0|0|26.77|0|0|false|false|english|none|normal|false|false|false||1678027460000
6404aaa25027fd0b05153788||40.46|87.93|53.29|60.11|41,0,1,2|quote|897|0|0|12.16|0|0|false|false|english|none|normal|false|false|false||1678027426000
6404aa8e5027fd0b051536ea||30.24|77.5|40.32|62.35|51,4,0,1|quote|5723|0|0|20.24|0|0|false|false|english|none|normal|false|false|false||1678027406000
6404aa755027fd0b051535ff||36.07|80.85|43.5|54.2|68,4,2,0|quote|6552|0|0|22.62|0|0|false|false|english|none|normal|false|false|false||1678027381000
6404aa575027fd0b05153505||53.7|98.11|58.08|75.65|49,0,0,1|quote|5348|0|0|10.95|0|0|false|false|english|none|normal|false|false|false||1678027351000
6404aa3b5027fd0b05153421||34.11|79.35|40.4|64.08|65,5,0,7|quote|35|0|0|22.87|0|0|false|false|english|none|normal|false|false|false||1678027323000
6404aa215027fd0b0515334f||35.13|87.88|35.13|64.03|57,0,0,0|quote|5589|0|0|19.47|0|0|false|false|english|none|normal|false|false|false||1678027297000
6404aa0a5027fd0b05153293||40.85|84.93|40.85|52.78|61,0,0,0|quote|3533|0|0|17.92|0|0|false|false|english|none|normal|false|false|false||1678027274000
6404a9f25027fd0b051531d8||37.19|85|46.49|56.06|56,1,0,1|quote|6428|0|0|18.07|0|0|false|false|english|none|normal|false|false|false||1678027250000
6404a9a75027fd0b05152f73||26.57|83.02|40.29|61.15|31,0,0,3|quote|5212|0|0|14|1|0|false|false|english|none|normal|false|false|false||1678027175000
6404a9925027fd0b05152ed8||48.24|90.32|49.41|60.86|82,0,0,1|quote|3362|0|0|20.4|0|0|false|false|english|none|normal|false|false|false||1678027154000
6404a9345027fd0b05152c02||58.39|93.06|58.39|64.99|67,0,0,0|quote|13|0|0|13.77|0|0|false|false|english|none|normal|false|false|false||1678027060000
6404a91b5027fd0b05152b2e||55.62|94.83|58.71|79.19|54,2,0,3|quote|54|0|0|11.65|0|0|false|false|english|none|normal|false|false|false||1678027035000
